group,image,true_species,predicted_species,top_score,second_species,second_score,margin,correct
known,acanthurus_bahianus_0002.jpg,acanthurus_bahianus,acanthurus_bahianus,0.9008430242538452,acanthurus_coeruleus,0.7763774792353312,0.12446554501851403,True
known,acanthurus_bahianus_0006.jpg,acanthurus_bahianus,acanthurus_bahianus,0.89246666431427,acanthurus_coeruleus,0.7988685170809428,0.09359814723332727,True
known,acanthurus_bahianus_0007.jpg,acanthurus_bahianus,acanthurus_bahianus,0.8412807186444601,acanthurus_coeruleus,0.7937431732813517,0.04753754536310839,True
known,acanthurus_bahianus_0008.jpg,acanthurus_bahianus,acanthurus_bahianus,0.9210841655731201,acanthurus_coeruleus,0.8081857959429423,0.11289836963017785,True
known,acanthurus_bahianus_0009.jpg,acanthurus_bahianus,acanthurus_bahianus,0.9431573549906412,acanthurus_coeruleus,0.8438556989034017,0.09930165608723951,True
known,acanthurus_bahianus_0015.jpg,acanthurus_bahianus,acanthurus_bahianus,0.8972153266270956,acanthurus_coeruleus,0.8263553778330485,0.07085994879404711,True
known,acanthurus_bahianus_0016.jpg,acanthurus_bahianus,acanthurus_bahianus,0.8368135690689087,acanthurus_coeruleus,0.7906206051508585,0.04619296391805017,True
known,acanthurus_bahianus_0018.jpg,acanthurus_bahianus,acanthurus_bahianus,0.8995537757873535,acanthurus_coeruleus,0.8300600051879883,0.06949377059936523,True
known,acanthurus_bahianus_0035.jpg,acanthurus_bahianus,acanthurus_bahianus,0.9229092200597128,acanthurus_coeruleus,0.8272151947021484,0.09569402535756433,True
known,acanthurus_bahianus_0041.jpg,acanthurus_bahianus,acanthurus_bahianus,0.9146429697672526,acanthurus_coeruleus,0.8027085463205973,0.11193442344665527,True
known,acanthurus_coeruleus_0006.jpg,acanthurus_coeruleus,acanthurus_coeruleus,0.8701177835464478,acanthurus_bahianus,0.7721702853838602,0.09794749816258752,True
known,acanthurus_coeruleus_0008.jpg,acanthurus_coeruleus,acanthurus_coeruleus,0.9233715136845907,holacanthus_ciliaris,0.8399326999982198,0.08343881368637085,True
known,acanthurus_coeruleus_0019.jpg,acanthurus_coeruleus,acanthurus_coeruleus,0.8689683874448141,sparisoma_viride,0.808468759059906,0.06049962838490808,True
known,acanthurus_coeruleus_0024.jpg,acanthurus_coeruleus,acanthurus_coeruleus,0.9238538940747579,holacanthus_ciliaris,0.8075881997744242,0.11626569430033373,True
known,acanthurus_coeruleus_0025.jpg,acanthurus_coeruleus,acanthurus_coeruleus,0.9469069639841715,acanthurus_bahianus,0.8485185901323954,0.09838837385177612,True
known,acanthurus_coeruleus_0035.jpg,acanthurus_coeruleus,acanthurus_coeruleus,0.9524237314860026,acanthurus_bahianus,0.851953387260437,0.10047034422556556,True
known,acanthurus_coeruleus_0036.jpg,acanthurus_coeruleus,acanthurus_coeruleus,0.9524438182512919,holacanthus_ciliaris,0.8821918368339539,0.07025198141733802,True
known,acanthurus_coeruleus_0037.jpg,acanthurus_coeruleus,acanthurus_coeruleus,0.9441168308258057,sparisoma_viride,0.847387452920278,0.09672937790552771,True
known,acanthurus_coeruleus_0040.jpg,acanthurus_coeruleus,acanthurus_coeruleus,0.9272003372510275,acanthurus_bahianus,0.8627220590909322,0.06447827816009521,True
known,acanthurus_coeruleus_0041.jpg,acanthurus_coeruleus,acanthurus_coeruleus,0.959807833035787,acanthurus_bahianus,0.8800334334373474,0.07977439959843957,True
known,diodon_hystrix_0014.jpg,diodon_hystrix,diodon_hystrix,0.8108461101849874,pterois_volitans,0.7443382541338602,0.06650785605112719,True
known,diodon_hystrix_0021.jpg,diodon_hystrix,diodon_hystrix,0.8249388734499613,sphyraena_barracuda,0.7328995863596598,0.09203928709030151,True
known,diodon_hystrix_0026.jpg,diodon_hystrix,diodon_hystrix,0.9373468557993571,lactophrys_triqueter,0.7828797499338785,0.15446710586547852,True
known,diodon_hystrix_0030.jpg,diodon_hystrix,diodon_hystrix,0.9470242261886597,lactophrys_triqueter,0.7850445906321207,0.16197963555653894,True
known,diodon_hystrix_0032.jpg,diodon_hystrix,diodon_hystrix,0.867785652478536,lactophrys_triqueter,0.7851700981458029,0.08261555433273315,True
known,diodon_hystrix_0037.jpg,diodon_hystrix,diodon_hystrix,0.8571601510047913,sphyraena_barracuda,0.7844836910565695,0.0726764599482218,True
known,diodon_hystrix_0042.jpg,diodon_hystrix,diodon_hystrix,0.9000876148541769,pterois_volitans,0.7614123821258545,0.13867523272832238,True
known,diodon_hystrix_0045.jpg,diodon_hystrix,diodon_hystrix,0.9216999212900797,lactophrys_triqueter,0.7978996237119039,0.12380029757817579,True
known,diodon_hystrix_0046.jpg,diodon_hystrix,diodon_hystrix,0.8395851254463196,lactophrys_triqueter,0.7764750321706136,0.06311009327570594,True
known,diodon_hystrix_0050.jpg,diodon_hystrix,diodon_hystrix,0.8648126522699991,sphyraena_barracuda,0.7747551798820496,0.09005747238794959,True
known,gymnothorax_funebris_0001.jpg,gymnothorax_funebris,gymnothorax_funebris,0.9193789760271708,diodon_hystrix,0.7394760052363077,0.17990297079086304,True
known,gymnothorax_funebris_0007.jpg,gymnothorax_funebris,gymnothorax_funebris,0.8588707248369852,acanthurus_coeruleus,0.7398003538449606,0.11907037099202467,True
known,gymnothorax_funebris_0011.jpg,gymnothorax_funebris,gymnothorax_funebris,0.8613582452138265,sphyraena_barracuda,0.7519224286079407,0.10943581660588586,True
known,gymnothorax_funebris_0012.jpg,gymnothorax_funebris,gymnothorax_funebris,0.9222549597422282,pomacanthus_paru,0.7963792483011881,0.12587571144104004,True
known,gymnothorax_funebris_0017.jpg,gymnothorax_funebris,gymnothorax_funebris,0.9212427536646525,sphyraena_barracuda,0.6995598673820496,0.2216828862826029,True
known,gymnothorax_funebris_0030.jpg,gymnothorax_funebris,gymnothorax_funebris,0.8869823416074117,diodon_hystrix,0.7195396224657694,0.16744271914164233,True
known,gymnothorax_funebris_0033.jpg,gymnothorax_funebris,gymnothorax_funebris,0.9262644052505493,sphyraena_barracuda,0.6974839568138123,0.22878044843673706,True
known,gymnothorax_funebris_0041.jpg,gymnothorax_funebris,gymnothorax_funebris,0.9109287063280741,diodon_hystrix,0.7390518188476562,0.17187688748041785,True
known,gymnothorax_funebris_0045.jpg,gymnothorax_funebris,gymnothorax_funebris,0.9400367339452108,holacanthus_ciliaris,0.7141078114509583,0.22592892249425256,True
known,gymnothorax_funebris_0047.jpg,gymnothorax_funebris,gymnothorax_funebris,0.9177002708117167,sphyraena_barracuda,0.7149123549461365,0.2027879158655802,True
known,holacanthus_ciliaris_0002.jpg,holacanthus_ciliaris,holacanthus_ciliaris,0.9478705128033956,pomacanthus_paru,0.8135361472765604,0.1343343655268352,True
known,holacanthus_ciliaris_0005.jpg,holacanthus_ciliaris,holacanthus_ciliaris,0.9551953077316284,pomacanthus_paru,0.8310234149297079,0.12417189280192054,True
known,holacanthus_ciliaris_0008.jpg,holacanthus_ciliaris,holacanthus_ciliaris,0.9326041142145792,acanthurus_coeruleus,0.8205360372861227,0.11206807692845655,True
known,holacanthus_ciliaris_0015.jpg,holacanthus_ciliaris,holacanthus_ciliaris,0.9332492550214132,acanthurus_coeruleus,0.8664760986963908,0.06677315632502245,True
known,holacanthus_ciliaris_0016.jpg,holacanthus_ciliaris,sparisoma_viride,0.859805186589559,holacanthus_ciliaris,0.8462217450141907,0.013583441575368282,False
known,holacanthus_ciliaris_0022.jpg,holacanthus_ciliaris,holacanthus_ciliaris,0.8801277875900269,pomacanthus_paru,0.7946100831031799,0.08551770448684692,True
known,holacanthus_ciliaris_0029.jpg,holacanthus_ciliaris,holacanthus_ciliaris,0.9392745494842529,acanthurus_coeruleus,0.7896096507708231,0.1496648987134298,True
known,holacanthus_ciliaris_0034.jpg,holacanthus_ciliaris,holacanthus_ciliaris,0.9037012060483297,pomacanthus_paru,0.8101038932800293,0.09359731276830041,True
known,holacanthus_ciliaris_0038.jpg,holacanthus_ciliaris,holacanthus_ciliaris,0.9345295627911886,pomacanthus_paru,0.8072558045387268,0.1272737582524618,True
known,holacanthus_ciliaris_0050.jpg,holacanthus_ciliaris,holacanthus_ciliaris,0.8845953345298767,pomacanthus_paru,0.788350244363149,0.09624509016672766,True
known,lactophrys_triqueter_0007.jpg,lactophrys_triqueter,lactophrys_triqueter,0.80872909228007,pomacanthus_paru,0.786164383093516,0.022564709186553955,True
known,lactophrys_triqueter_0009.jpg,lactophrys_triqueter,lactophrys_triqueter,0.9463584025700887,sparisoma_viride,0.8128196795781454,0.13353872299194336,True
known,lactophrys_triqueter_0013.jpg,lactophrys_triqueter,lactophrys_triqueter,0.9546513358751932,sparisoma_viride,0.8469916979471842,0.10765963792800903,True
known,lactophrys_triqueter_0016.jpg,lactophrys_triqueter,lactophrys_triqueter,0.9169658422470093,diodon_hystrix,0.7826006213823954,0.1343652208646139,True
known,lactophrys_triqueter_0022.jpg,lactophrys_triqueter,lactophrys_triqueter,0.8780081669489542,sparisoma_viride,0.7090916633605957,0.16891650358835852,True
known,lactophrys_triqueter_0028.jpg,lactophrys_triqueter,lactophrys_triqueter,0.9566119313240051,sparisoma_viride,0.7919791539510092,0.16463277737299598,True
known,lactophrys_triqueter_0029.jpg,lactophrys_triqueter,lactophrys_triqueter,0.9024205406506857,sparisoma_viride,0.7236526807149252,0.1787678599357605,True
known,lactophrys_triqueter_0035.jpg,lactophrys_triqueter,lactophrys_triqueter,0.9426842133204142,diodon_hystrix,0.775331974029541,0.16735223929087317,True
known,lactophrys_triqueter_0046.jpg,lactophrys_triqueter,sphyraena_barracuda,0.832878569761912,acanthurus_coeruleus,0.8151184320449829,0.01776013771692908,False
known,lactophrys_triqueter_0047.jpg,lactophrys_triqueter,lactophrys_triqueter,0.8999916911125183,sparisoma_viride,0.7294516563415527,0.17054003477096558,True
known,pomacanthus_paru_0004.jpg,pomacanthus_paru,pomacanthus_paru,0.9223901828130087,holacanthus_ciliaris,0.7758020758628845,0.14658810695012414,True
known,pomacanthus_paru_0011.jpg,pomacanthus_paru,pomacanthus_paru,0.8945491711298624,holacanthus_ciliaris,0.7437789638837179,0.15077020724614454,True
known,pomacanthus_paru_0021.jpg,pomacanthus_paru,pomacanthus_paru,0.9199099540710449,holacanthus_ciliaris,0.8015946348508199,0.11831531922022498,True
known,pomacanthus_paru_0031.jpg,pomacanthus_paru,pomacanthus_paru,0.9277148246765137,holacanthus_ciliaris,0.8335545460383097,0.09416027863820398,True
known,pomacanthus_paru_0033.jpg,pomacanthus_paru,pomacanthus_paru,0.7831233739852905,lactophrys_triqueter,0.7566275000572205,0.02649587392807007,True
known,pomacanthus_paru_0034.jpg,pomacanthus_paru,pomacanthus_paru,0.8519866069157919,acanthurus_coeruleus,0.7500187555948893,0.10196785132090258,True
known,pomacanthus_paru_0038.jpg,pomacanthus_paru,pomacanthus_paru,0.9201865593592325,holacanthus_ciliaris,0.7809905608495077,0.13919599850972486,True
known,pomacanthus_paru_0047.jpg,pomacanthus_paru,pomacanthus_paru,0.9472249746322632,holacanthus_ciliaris,0.8059423764546713,0.14128259817759192,True
known,pomacanthus_paru_0048.jpg,pomacanthus_paru,pomacanthus_paru,0.928541342417399,holacanthus_ciliaris,0.8277502258618673,0.10079111655553175,True
known,pomacanthus_paru_0050.jpg,pomacanthus_paru,pomacanthus_paru,0.9428904056549072,holacanthus_ciliaris,0.7854780753453573,0.15741233030954993,True
known,pterois_volitans_0005.jpg,pterois_volitans,pterois_volitans,0.9614010453224182,sphyraena_barracuda,0.7464902400970459,0.21491080522537231,True
known,pterois_volitans_0009.jpg,pterois_volitans,pterois_volitans,0.9729567170143127,sphyraena_barracuda,0.7576724688212076,0.2152842481931051,True
known,pterois_volitans_0011.jpg,pterois_volitans,pterois_volitans,0.967208981513977,diodon_hystrix,0.7203152775764465,0.24689370393753052,True
